Sequence,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_4578,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,unidentified 
ASV_4579,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_4580,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_4581,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium eligens group ,uncultured organism
ASV_4582,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales  ,vadinBE97  ,vadinBE97   ,uncultured rumen
ASV_4583,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales  ,Peptostreptococcaceae  ,Romboutsia   ,uncultured bacterium
ASV_4584,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_4585,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_4586,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Bilophila   ,Bilophila wadsworthia
ASV_4587,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured Firmicutes
ASV_4588,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,uncultured organism
ASV_4589,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella   ,Prevotella stercorea
ASV_4590,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,human gut
ASV_4591,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,metagenome 
ASV_4592,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,NA,NA
ASV_4593,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes finegoldii
ASV_4594,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,Azospirillum sp.
ASV_4595,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides merdae
ASV_4596,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,uncultured  ,uncultured   ,uncultured bacterium
ASV_4597,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,human gut
ASV_4598,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Bacteroides sp.
ASV_4599,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,NA,NA
ASV_4600,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,NA,NA
ASV_4601,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Subdoligranulum   ,uncultured organism
ASV_4602,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,UBA1819   ,uncultured organism
ASV_4603,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,gut metagenome
ASV_4604,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Veillonella   ,uncultured organism
ASV_4605,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,NA,NA
ASV_4606,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,uncultured organism
ASV_4607,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides thetaiotaomicron
ASV_4608,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Pasteurellaceae  ,Haemophilus   ,uncultured bacterium
ASV_4609,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Lactococcus   ,Lactococcus lactis
ASV_4610,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Flavonifractor   ,uncultured bacterium
ASV_4611,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ventriosum group ,uncultured Lachnospiraceae
ASV_4612,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Anaerostipes   ,metagenome 
ASV_4613,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_4614,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,Carnobacterium sp.
ASV_4615,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Dialister   ,Dialister sp.
ASV_4616,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_4617,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales  ,Peptostreptococcaceae  ,Intestinibacter   ,uncultured bacterium
ASV_4618,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,NA
ASV_4619,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,Paraprevotella xylaniphila
ASV_4620,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Subdoligranulum   ,uncultured organism
ASV_4621,Bacteria,Firmicutes,Clostridia,Clostridiales  ,Clostridiaceae  ,Clostridium sensu stricto 1,uncultured Firmicutes
ASV_4622,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_4623,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_4624,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium aldenense
ASV_4625,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_4626,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,NA
ASV_4627,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus lactaris
ASV_4628,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides fragilis
ASV_4629,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides cellulosilyticus
ASV_4630,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelotrichaceae  ,Holdemanella   ,uncultured bacterium
ASV_4631,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,NA
ASV_4632,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Intestinimonas   ,Intestinimonas butyriciproducens
ASV_4633,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes obesi
ASV_4634,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_4635,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Butyricicoccaceae  ,UCG-009   ,uncultured organism
ASV_4636,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales  ,Gastranaerophilales  ,Gastranaerophilales   ,Clostridium sp.
ASV_4637,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,Clostridium leptum
ASV_4638,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Acidaminococcus   ,uncultured organism
ASV_4639,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales  ,Coriobacteriaceae  ,Collinsella   ,Collinsella aerofaciens
ASV_4640,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,Eubacterium ramulus
ASV_4641,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes indistinctus
ASV_4642,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_4643,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-008  ,uncultured organism
ASV_4644,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Odoribacter   ,Odoribacter splanchnicus
ASV_4645,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium fissicatena group ,uncultured bacterium
ASV_4646,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelotrichaceae  ,Faecalitalea   ,Absiella argi
ASV_4647,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_4648,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_4649,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_4650,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_4651,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_4652,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eisenbergiella   ,uncultured organism
ASV_4653,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,gut metagenome
ASV_4654,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium xylanophilum group ,uncultured organism
ASV_4655,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_4656,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales  ,Akkermansiaceae  ,Akkermansia   ,NA
ASV_4657,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,NA
ASV_4658,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,uncultured organism
ASV_4659,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured rumen
ASV_4660,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_4661,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_4662,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,uncultured organism
ASV_4663,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_4664,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,Lachnospiraceae bacterium
ASV_4665,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales  ,Anaerovoracaceae  ,Eubacterium brachy group ,uncultured bacterium
ASV_4666,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_4667,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,UBA1819   ,uncultured organism
ASV_4668,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Acidaminococcus   ,uncultured organism
ASV_4669,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Megasphaera   ,NA
ASV_4670,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium aldenense
ASV_4671,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,gut metagenome
ASV_4672,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus faecis
ASV_4673,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_4674,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_4675,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,uncultured Thermoanaerobacterales
ASV_4676,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_4677,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae ND3007 group ,metagenome 
ASV_4678,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_4679,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Dialister   ,Dialister sp.
ASV_4680,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_4681,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium hallii group ,uncultured organism
ASV_4682,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides merdae
ASV_4683,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium eligens group ,uncultured organism
ASV_4684,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,uncultured prokaryote
ASV_4685,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-010  ,uncultured bacterium
ASV_4686,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Defluviitaleaceae  ,Defluviitaleaceae UCG-011  ,uncultured bacterium
ASV_4687,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eisenbergiella   ,uncultured organism
ASV_4688,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,Clostridiales bacterium
ASV_4689,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides merdae
ASV_4690,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,uncultured bacterium
ASV_4691,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_4692,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_4693,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides fragilis
ASV_4694,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Flavonifractor   ,uncultured bacterium
ASV_4695,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes obesi
ASV_4696,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,unidentified 
ASV_4697,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eisenbergiella   ,uncultured organism
ASV_4698,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales  ,Bifidobacteriaceae  ,Bifidobacterium   ,Bifidobacterium longum
ASV_4699,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales  ,Gastranaerophilales  ,Gastranaerophilales   ,Clostridium sp.
ASV_4700,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales  ,Bifidobacteriaceae  ,Bifidobacterium   ,Bifidobacterium longum
ASV_4701,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,uncultured   ,uncultured bacterium
ASV_4702,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,gut metagenome
ASV_4703,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,CAG-352   ,uncultured bacterium
ASV_4704,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,gut metagenome
ASV_4705,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,uncultured organism
ASV_4706,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_4707,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,gut metagenome
ASV_4708,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_4709,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Anaerostipes   ,metagenome 
ASV_4710,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides massiliensis
ASV_4711,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,CAG-352   ,NA
ASV_4712,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_4713,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,Eubacterium siraeum
ASV_4714,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides intestinalis
ASV_4715,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,metagenome 
ASV_4716,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured Firmicutes
ASV_4717,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,uncultured Ruminococcus
ASV_4718,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-001  ,NA
ASV_4719,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,uncultured organism
ASV_4720,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides massiliensis
ASV_4721,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales  ,Desulfovibrionaceae  ,Desulfovibrio   ,Desulfovibrio desulfuricans
ASV_4722,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_4723,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_4724,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_4725,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,metagenome 
ASV_4726,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides merdae
ASV_4727,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,unidentified 
ASV_4728,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_4729,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelatoclostridiaceae  ,Candidatus Stoquefichus  ,Longibaculum muris
ASV_4730,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus gnavus group ,uncultured bacterium
ASV_4731,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_4732,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_4733,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Enterobacteriaceae  ,Escherichia-Shigella   ,Shigella flexneri
ASV_4734,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,NA,NA
ASV_4735,Bacteria,Firmicutes,Clostridia,Monoglobales  ,Monoglobaceae  ,Monoglobus   ,Monoglobus pectinilyticus
ASV_4736,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,NK4A214 group  ,metagenome 
ASV_4737,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides oleiciplenus
ASV_4738,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_4739,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ventriosum group ,uncultured bacterium
ASV_4740,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ventriosum group ,uncultured organism
ASV_4741,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales  ,Peptostreptococcaceae  ,Intestinibacter   ,uncultured bacterium
ASV_4742,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes shahii
ASV_4743,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes inops
ASV_4744,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Streptococcus   ,Streptococcus oralis
ASV_4745,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Tyzzerella   ,Anaerotignum lactatifermentans
ASV_4746,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,UBA1819   ,uncultured organism
ASV_4747,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium scindens
ASV_4748,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,NA
ASV_4749,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,Blautia caecimuris
ASV_4750,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,CAG-352   ,uncultured bacterium
ASV_4751,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_4752,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium hallii group ,uncultured organism
ASV_4753,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-010  ,uncultured organism
ASV_4754,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Colidextribacter   ,uncultured Flavonifractor
ASV_4755,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,uncultured organism
ASV_4756,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_4757,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_4758,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,uncultured organism
ASV_4759,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_4760,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_4761,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_4762,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_4763,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,metagenome 
ASV_4764,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus gauvreauii group ,uncultured Clostridiales
ASV_4765,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,human gut
ASV_4766,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,metagenome 
ASV_4767,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_4768,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_4769,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium glycyrrhizinilyticum
ASV_4770,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,CAG-352   ,NA
ASV_4771,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_4772,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,Blautia stercoris
ASV_4773,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospira   ,uncultured organism
ASV_4774,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ruminantium group ,gut metagenome
ASV_4775,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,CAG-56   ,uncultured bacterium
ASV_4776,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,NA
ASV_4777,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_4778,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Enterobacteriaceae  ,Escherichia-Shigella   ,Shigella flexneri
ASV_4779,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus lactaris
ASV_4780,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,NA,NA,NA
ASV_4781,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae ND3007 group ,metagenome 
ASV_4782,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
